hidden_layers,activation_function,epochs,learning_rate,batch_size,accuracy
[4],Sigmoid,25,0.01,128,0.8439024390243902
[4],Sigmoid,25,0.01,256,0.8341463414634146
[4],Sigmoid,25,0.01,512,0.8195121951219512
[4],Sigmoid,25,0.001,16,0.8292682926829268
[4],Sigmoid,25,0.001,32,0.8195121951219512
[4],Sigmoid,25,0.001,64,0.7707317073170732
[4],Sigmoid,25,0.001,128,0.775609756097561
[4],Sigmoid,25,0.001,256,0.7658536585365854
[4],Sigmoid,25,0.001,512,0.6390243902439025
[4],Sigmoid,25,0.0001,16,0.4878048780487805
[4],Sigmoid,25,0.0001,32,0.5658536585365853
[4],Sigmoid,25,0.0001,64,0.5365853658536586
[4],Sigmoid,25,0.0001,128,0.4878048780487805
[4],Sigmoid,25,0.0001,256,0.5756097560975609
[4],Sigmoid,25,0.0001,512,0.4878048780487805
[4],Sigmoid,50,10.0,16,0.7951219512195122
[4],Sigmoid,50,10.0,32,0.775609756097561
[4],Sigmoid,50,10.0,64,0.7804878048780488
[4],Sigmoid,50,10.0,128,0.8048780487804879
[4],Sigmoid,50,10.0,256,0.7707317073170732
[4],Sigmoid,50,10.0,512,0.5121951219512195
[4],Sigmoid,50,1.0,16,0.8146341463414634
[4],Sigmoid,50,1.0,32,0.8829268292682927
[4],Sigmoid,50,1.0,64,0.8878048780487805
[4],Sigmoid,50,1.0,128,0.8682926829268293
[4],Sigmoid,50,1.0,256,0.848780487804878
[4],Sigmoid,50,1.0,512,0.9170731707317074
[4],Sigmoid,50,0.1,16,0.9219512195121952
[4],Sigmoid,50,0.1,32,0.9414634146341463
[4],Sigmoid,50,0.1,64,0.9317073170731708
[4],Sigmoid,50,0.1,128,0.9317073170731708
[4],Sigmoid,50,0.1,256,0.926829268292683
[4],Sigmoid,50,0.1,512,0.9219512195121952
[4],Sigmoid,50,0.01,16,0.926829268292683
[4],Sigmoid,50,0.01,32,0.8926829268292683
[4],Sigmoid,50,0.01,64,0.8829268292682927
[4],Sigmoid,50,0.01,128,0.8731707317073171
[4],Sigmoid,50,0.01,256,0.8439024390243902
[4],Sigmoid,50,0.01,512,0.8585365853658536
[4],Sigmoid,50,0.001,16,0.8536585365853658
[4],Sigmoid,50,0.001,32,0.8341463414634146
[4],Sigmoid,50,0.001,64,0.8195121951219512
[4],Sigmoid,50,0.001,128,0.7560975609756098
[4],Sigmoid,50,0.001,256,0.8048780487804879
[4],Sigmoid,50,0.001,512,0.7609756097560976
